Source	Target	Weigth
United States	Sweden	28
Finland	Germany	1
Denmark	Portugal	3
Croatia	Croatia	7
Denmark	Slovenia	3
Slovenia	Canada	1
France	Belgium	1
China	France	1
Germany	Germany	118
Costa Rica	Switzerland	1
Portugal	France	1
Bulgaria	Bulgaria	1
Netherlands	China	1
Sweden	Germany	3
Belgium	Russia	2
Czech Republic	Czech Republic	31
Dominica	Dominica	6
Spain	Portugal	1
Italy	France	3
Ireland	China	2
Germany	United States	9
France	United States	8
Sweden	Canada	3
South Korea	South Korea	3
Netherlands	France	3
Poland	Poland	3
New Zealand	New Zealand	10
Sweden	Sweden	13
Ireland	Ireland	5
China	China	1
Sweden	Portugal	3
Norway	Norway	8
Austria	Austria	13
Ireland	Denmark	6
Sweden	China	3
Spain	Denmark	3
Brazil	Brazil	3
Belgium	Italy	3
Denmark	Sweden	9
Netherlands	Sweden	3
Belgium	Netherlands	1
India	India	29
Portugal	China	1
Ireland	Russia	4
Germany	China	1
Estonia	Estonia	1
Greece	Greece	4
Ghana	Ghana	1
Turkey	Turkey	1
United States	Ireland	16
Malaysia	Malaysia	1
Ireland	Portugal	1
Belgium	United States	8
Iran	Iran	1
Denmark	United States	28
Netherlands	United Kingdom	4
Germany	Spain	1
Sweden	Russia	6
Russia	United States	20
Russia	Italy	6
Italy	China	3
France	Ireland	2
Ireland	Netherlands	2
Italy	Spain	3
Canada	Portugal	1
Cyprus	Cyprus	1
Spain	Spain	12
Canada	Russia	2
Bolivia	Bolivia	6
Italia	Italia	1
Senegal	Senegal	1
Italy	Portugal	3
Russia	China	2
Finland	Finland	1
Portugal	Portugal	24
Germany	Netherlands	1
Slovenia	Ireland	2
Australia	Australia	21
Canada	France	7
Denmark	Netherlands	3
China	United States	8
Canada	China	1
Ireland	Canada	2
United Kingdom	Belgium	1
Italy	Netherlands	3
Spain	Russia	2
Hungary	Hungary	2
Ireland	Italy	6
Netherlands	United States	8
Russia	Russia	2
Russia	Slovenia	2
Spain	United States	8
Mexico	Mexico	4
Germany	United Kingdom	1
Chile	Chile	9
Romania	Germany	1
Canada	Canada	176
Belgium	Ireland	2
Russia	France	2
United States	Slovenia	8
Spain	Belgium	1
Netherlands	Netherlands	24
United States	Portugal	8
Ireland	Spain	2
Denmark	Canada	3
Belgium	Belgium	79
Italy	Germany	3
Italy	United Kingdom	3
Spain	Slovenia	1
Romania	Romania	2
Belgium	Germany	1
Italy	Slovenia	3
Belgium	Denmark	3
France	Spain	1
Denmark	Germany	4
Zimbabwe	Zimbabwe	1
Italy	Denmark	9
Macedonia	Macedonia	1
Ireland	Sweden	6
Russia	Denmark	6
Slovenia	China	1
Belgium	Poland	1
Cuba	Germany	1
France	France	55
France	Sweden	3
Russia	Portugal	2
Ireland	Germany	2
Poland	Hungary	1
Netherlands	Slovenia	1
Slovenia	Belgium	1
United States	United States	40
Taiwan	Taiwan	2
Netherlands	Canada	1
Germany	Russia	2
Netherlands	Russia	2
Netherlands	Spain	1
Slovakia	Slovakia	3
Slovenia	Portugal	1
Costa Rica	Costa Rica	3
Switzerland	Switzerland	6
Slovenia	Germany	1
Austria	United Kingdom	1
United States	Canada	8
Slovenia	Sweden	3
Sweden	Italy	9
Germany	Portugal	1
Singapore	Singapore	6
Germany	France	6
Germany	Canada	3
Italy	Italy	49
Japan	Japan	2
Denmark	France	3
Denmark	Denmark	58
Spain	China	1
Belgium	China	1
Sweden	Belgium	3
Italy	United States	24
South Africa	South Africa	1
Slovenia	France	1
Denmark	China	3
United Kingdom	United Kingdom	111
United Kingdom	China	1
Sweden	Spain	3
Italy	Canada	5
Canada	Austria	1
Canada	Spain	1
