	index	journal	id
0	0	Google Books	1410
1	1	Journal of Transatlantic Studies	376
2	2	Journal of American History	82
3	3	American Historical Review	76
4	4	Slavery And Abolition	63
5	5	International Affairs	61
6	6	Journal of American Studies	49
7	7	Atlantic Studies Global Currents	48
8	8	International Politics	39
9	9	Survival	37
10	10	Journal of European Public Policy	35
11	11	Comparative American Studies	35
12	12	Review of International Political Economy	33
13	13	International History Review	33
14	14	William And Mary Quarterly	30
15	15	International Spectator	30
16	16	Early American Literature	28
17	17	Washington Quarterly	28
18	18	Victorian Studies	27
19	19	Foreign Affairs	26
